time,x,y,ignited,willignite,simtime,ignitionTime,sigma,spreadDir,rateOfSpread
2025-07-01 10:33:17,470715,5087040,1,1,197.216,192.966,inf,26,0.0579394
2025-07-01 10:33:17,470730,5087030,0,1,197.216,392.073,194.857,26,0.0562067
2025-07-01 10:33:17,470725,5087040,1,1,197.216,197.216,0,26,0.0566907
2025-07-01 10:33:17,470720,5087030,1,0,197.216,inf,inf,0,0
2025-07-01 10:33:17,470720,5087050,0,1,197.216,388.536,191.32,26,0.0571679
2025-07-01 10:33:17,470715,5087040,1,1,197.216,192.966,inf,26,0.0579394
2025-07-01 10:33:17,470730,5087050,0,1,197.216,1123.99,926.773,26,0.0120637
2025-07-01 10:33:17,470735,5087040,0,1,197.216,994.242,797.026,90,0.0125466
2025-07-01 10:33:17,470730,5087030,0,1,197.216,392.073,194.857,26,0.0562067
2025-07-01 10:33:17,470725,5087040,1,1,197.216,197.216,inf,26,0.0566907
2025-07-01 10:36:21,470705,5087040,1,1,381.61,185.862,inf,333,0.0601541
2025-07-01 10:36:21,470720,5087050,0,1,381.61,388.536,6.9267,26,0.0571679
2025-07-01 10:36:21,470715,5087040,1,1,381.61,192.966,inf,26,0.0579394
2025-07-01 10:36:21,470710,5087050,1,1,381.61,381.61,0,26,0.0571159
2025-07-01 10:36:21,470700,5087050,0,1,381.61,1053.35,671.737,333,0.0128882
2025-07-01 10:36:21,470705,5087040,1,1,381.61,185.862,inf,333,0.0601541
2025-07-01 10:36:21,470720,5087050,0,1,381.61,388.536,6.9267,26,0.0571679
2025-07-01 10:36:21,470715,5087040,1,1,381.61,192.966,inf,26,0.0579394
2025-07-01 10:36:21,470710,5087050,1,1,381.61,381.61,inf,26,0.0571159
2025-07-01 10:36:21,470715,5087060,0,1,381.61,1316.27,934.663,26,0.0119619
2025-07-01 10:36:21,470705,5087060,0,1,381.61,1301.49,919.88,333,0.0121541
2025-07-01 10:36:21,470700,5087050,0,1,381.61,1053.35,671.737,333,0.0128882
2025-07-01 10:36:28,470720,5087050,1,1,388.536,388.536,0,26,0.0571679
2025-07-01 10:36:28,470715,5087040,1,1,388.536,192.966,inf,26,0.0579394
2025-07-01 10:36:28,470710,5087050,1,1,388.536,381.61,inf,26,0.0571159
2025-07-01 10:36:28,470715,5087060,0,1,388.536,1316.27,927.736,26,0.0119619
2025-07-01 10:36:28,470730,5087050,0,1,388.536,1123.99,735.453,26,0.0120637
2025-07-01 10:36:28,470725,5087040,1,1,388.536,197.216,inf,26,0.0566907
2025-07-01 10:36:28,470720,5087050,1,1,388.536,388.536,inf,26,0.0571679
2025-07-01 10:36:28,470715,5087040,1,1,388.536,192.966,inf,26,0.0579394
2025-07-01 10:36:28,470710,5087050,1,1,388.536,381.61,inf,26,0.0571159
2025-07-01 10:36:28,470715,5087060,0,1,388.536,1296.13,907.592,333,0.0123187
2025-07-01 10:36:28,470730,5087050,0,1,388.536,1123.99,735.453,26,0.0120637
2025-07-01 10:36:28,470725,5087060,0,1,388.536,1308.83,920.298,26,0.0121486
2025-07-01 10:36:28,470725,5087040,1,1,388.536,197.216,inf,26,0.0566907
2025-07-01 10:36:32,470720,5087030,1,0,392.073,inf,inf,0,0
2025-07-01 10:36:32,470725,5087020,1,1,392.073,193.159,inf,26,0.0578816
2025-07-01 10:36:32,470735,5087040,0,1,392.073,994.242,602.169,90,0.0125466
2025-07-01 10:36:32,470735,5087020,0,1,392.073,988.775,596.702,90,0.0125689
2025-07-01 10:36:32,470730,5087030,1,1,392.073,392.073,0,26,0.0562067
2025-07-01 10:36:32,470725,5087040,1,1,392.073,197.216,inf,26,0.0566907
2025-07-01 10:36:32,470720,5087030,1,0,392.073,inf,inf,0,0
2025-07-01 10:36:32,470725,5087020,1,1,392.073,193.159,inf,26,0.0578816
2025-07-01 10:36:32,470735,5087040,0,1,392.073,592.835,200.761,26,0.0556897
2025-07-01 10:36:32,470735,5087020,0,1,392.073,988.775,596.702,90,0.0125689
2025-07-01 10:36:32,470730,5087030,1,1,392.073,392.073,inf,26,0.0562067
2025-07-01 10:36:32,470725,5087040,1,1,392.073,197.216,inf,26,0.0566907
2025-07-01 10:36:32,470740,5087030,0,1,392.073,1187.45,795.372,90,0.0125727
2025-07-01 10:36:33,470720,5087010,1,0,393.125,inf,inf,0,0
2025-07-01 10:36:33,470735,5087000,0,1,393.125,989.002,595.876,90,0.0125758
2025-07-01 10:36:33,470725,5087020,1,1,393.125,193.159,inf,26,0.0578816
2025-07-01 10:36:33,470735,5087020,0,1,393.125,988.775,595.65,90,0.0125689
2025-07-01 10:36:33,470725,5087000,1,1,393.125,193.825,inf,26,0.0576825
2025-07-01 10:36:33,470730,5087010,1,1,393.125,393.125,0,26,0.0560982
2025-07-01 10:36:33,470720,5087010,1,0,393.125,inf,inf,0,0
2025-07-01 10:36:33,470735,5087000,0,1,393.125,989.002,595.876,90,0.0125758
2025-07-01 10:36:33,470725,5087020,1,1,393.125,193.159,inf,26,0.0578816
2025-07-01 10:36:33,470740,5087010,0,1,393.125,1186.73,793.602,90,0.0126008
2025-07-01 10:36:33,470735,5087020,0,1,393.125,588.873,195.748,26,0.0571159
2025-07-01 10:36:33,470725,5087000,1,1,393.125,193.825,inf,26,0.0576825
2025-07-01 10:36:33,470730,5087010,1,1,393.125,393.125,inf,26,0.0560982
2025-07-01 10:39:48,470725,5087020,1,1,588.873,193.159,inf,26,0.0578816
2025-07-01 10:39:48,470740,5087010,0,1,588.873,1186.73,597.854,90,0.0126008
2025-07-01 10:39:48,470735,5087020,1,1,588.873,588.873,0,26,0.0571159
2025-07-01 10:39:48,470730,5087010,1,1,588.873,393.125,inf,26,0.0560982
2025-07-01 10:39:48,470730,5087030,1,1,588.873,392.073,inf,26,0.0562067
2025-07-01 10:39:48,470740,5087030,0,1,588.873,1187.45,598.572,90,0.0125727
2025-07-01 10:39:48,470745,5087020,0,1,588.873,1384,795.13,90,0.0125766
2025-07-01 10:39:48,470725,5087020,1,1,588.873,193.159,inf,26,0.0578816
2025-07-01 10:39:48,470740,5087010,0,1,588.873,1186.73,597.854,90,0.0126008
2025-07-01 10:39:48,470735,5087020,1,1,588.873,588.873,inf,26,0.0571159
2025-07-01 10:39:48,470730,5087010,1,1,588.873,393.125,inf,26,0.0560982
2025-07-01 10:39:48,470730,5087030,1,1,588.873,392.073,inf,26,0.0562067
2025-07-01 10:39:48,470740,5087030,0,1,588.873,786.67,197.797,26,0.0565243
2025-07-01 10:39:52,470730,5087050,0,1,592.835,1123.99,531.155,26,0.0120637
2025-07-01 10:39:52,470735,5087040,1,1,592.835,592.835,0,26,0.0556897
2025-07-01 10:39:52,470730,5087030,1,1,592.835,392.073,inf,26,0.0562067
2025-07-01 10:39:52,470725,5087040,1,1,592.835,197.216,inf,26,0.0566907
2025-07-01 10:39:52,470740,5087030,0,1,592.835,786.67,193.836,26,0.0565243
2025-07-01 10:39:52,470730,5087050,0,1,592.835,1123.99,531.155,26,0.0120637
2025-07-01 10:39:52,470735,5087040,1,1,592.835,592.835,inf,26,0.0556897
2025-07-01 10:39:52,470745,5087040,0,1,592.835,1384.41,791.573,90,0.0126331
2025-07-01 10:39:52,470740,5087050,0,1,592.835,781.426,188.591,26,0.0592836
2025-07-01 10:39:52,470730,5087030,1,1,592.835,392.073,inf,26,0.0562067
2025-07-01 10:39:52,470725,5087040,1,1,592.835,197.216,inf,26,0.0566907
2025-07-01 10:39:52,470740,5087030,0,1,592.835,786.67,193.836,26,0.0565243
2025-07-01 10:43:01,470730,5087050,0,1,781.426,1123.99,342.564,26,0.0120637
2025-07-01 10:43:01,470735,5087040,1,1,781.426,592.835,inf,26,0.0556897
2025-07-01 10:43:01,470745,5087040,0,1,781.426,1384.41,602.982,90,0.0126331
2025-07-01 10:43:01,470740,5087050,1,1,781.426,781.426,0,26,0.0592836
2025-07-01 10:43:01,470730,5087050,0,1,781.426,1123.99,342.564,26,0.0120637
2025-07-01 10:43:01,470735,5087040,1,1,781.426,592.835,inf,26,0.0556897
2025-07-01 10:43:01,470745,5087040,0,1,781.426,1384.41,602.982,90,0.0126331
2025-07-01 10:43:01,470750,5087050,0,1,781.426,1574.82,793.391,90,0.0126041
2025-07-01 10:43:01,470740,5087050,1,1,781.426,781.426,inf,26,0.0592836
2025-07-01 10:43:01,470735,5087060,0,1,781.426,1704.2,922.772,333,0.012116
2025-07-01 10:43:01,470745,5087060,0,1,781.426,976.546,195.121,26,0.0572996
2025-07-01 10:43:06,470745,5087020,0,1,786.67,1384,597.333,90,0.0125766
2025-07-01 10:43:06,470735,5087040,1,1,786.67,592.835,inf,26,0.0556897
2025-07-01 10:43:06,470735,5087020,1,1,786.67,588.873,inf,26,0.0571159
2025-07-01 10:43:06,470745,5087040,0,1,786.67,1384.41,597.737,90,0.0126331
2025-07-01 10:43:06,470730,5087030,1,1,786.67,392.073,inf,26,0.0562067
2025-07-01 10:43:06,470740,5087030,1,1,786.67,786.67,0,26,0.0565243
2025-07-01 10:43:06,470745,5087020,0,1,786.67,1384,597.333,90,0.0125766
2025-07-01 10:43:06,470735,5087040,1,1,786.67,592.835,inf,26,0.0556897
2025-07-01 10:43:06,470735,5087020,1,1,786.67,588.873,inf,26,0.0571159
2025-07-01 10:43:06,470745,5087040,0,1,786.67,980.778,194.107,26,0.0575988
2025-07-01 10:43:06,470750,5087030,0,1,786.67,1579.27,792.599,90,0.0126167
2025-07-01 10:43:06,470730,5087030,1,1,786.67,392.073,inf,26,0.0562067
2025-07-01 10:43:06,470740,5087030,1,1,786.67,786.67,inf,26,0.0565243
2025-07-01 10:43:13,470720,5086990,1,0,793.391,inf,inf,0,0
2025-07-01 10:43:13,470735,5087000,0,1,793.391,989.002,195.611,90,0.0125758
2025-07-01 10:43:13,470725,5087000,1,1,793.391,193.825,inf,26,0.0576825
2025-07-01 10:43:13,470730,5086990,1,1,793.391,793.391,0,90,0.0126041
2025-07-01 10:43:13,470725,5086980,0,1,793.391,1577.92,784.53,153,0.00708549
2025-07-01 10:43:13,470720,5086990,1,0,793.391,inf,inf,0,0
2025-07-01 10:43:13,470735,5087000,0,1,793.391,989.002,195.611,90,0.0125758
2025-07-01 10:43:13,470740,5086990,0,1,793.391,1588.7,795.305,90,0.0125738
2025-07-01 10:43:13,470735,5086980,0,1,793.391,2370.33,1576.94,153,0.0070899
2025-07-01 10:43:13,470725,5087000,1,1,793.391,193.825,inf,26,0.0576825
2025-07-01 10:43:13,470730,5086990,1,1,793.391,793.391,inf,90,0.0126041
2025-07-01 10:43:13,470725,5086980,0,1,793.391,1577.92,784.53,153,0.00708549
2025-07-01 10:43:15,470685,5087000,0,1,795.079,7475.27,6680.19,153,0.00149564
2025-07-01 10:43:15,470700,5087010,1,0,795.079,inf,inf,0,0
2025-07-01 10:43:15,470700,5086990,0,1,795.079,1578.73,783.648,206,0.00708187
2025-07-01 10:43:15,470690,5087010,1,0,795.079,inf,inf,0,0
2025-07-01 10:43:15,470705,5087000,1,0,795.079,inf,inf,0,0
2025-07-01 10:43:15,470695,5087000,1,1,795.079,795.079,0,270,0.0125774
2025-07-01 10:43:15,470685,5087000,0,1,795.079,4501.01,3705.93,270,0.00269838
2025-07-01 10:43:15,470700,5087010,1,0,795.079,inf,inf,0,0
2025-07-01 10:43:15,470690,5086990,0,1,795.079,2378.72,1583.64,206,0.00705988
2025-07-01 10:43:15,470700,5086990,0,1,795.079,1578.73,783.648,206,0.00708187
2025-07-01 10:43:15,470690,5087010,1,0,795.079,inf,inf,0,0
2025-07-01 10:43:15,470705,5087000,1,0,795.079,inf,inf,0,0
2025-07-01 10:43:15,470695,5087000,1,1,795.079,795.079,inf,270,0.0125774
2025-07-01 10:43:21,470715,5087000,1,0,801.534,inf,inf,0,0
2025-07-01 10:43:21,470720,5086990,1,0,801.534,inf,inf,0,0
2025-07-01 10:43:21,470710,5086990,1,1,801.534,801.534,0,270,0.0124761
2025-07-01 10:43:21,470700,5086990,0,1,801.534,1578.73,777.194,206,0.00708187
2025-07-01 10:43:21,470715,5086980,0,1,801.534,1582.71,781.172,206,0.00706407
2025-07-01 10:43:21,470705,5087000,1,0,801.534,inf,inf,0,0
2025-07-01 10:43:21,470715,5087000,1,0,801.534,inf,inf,0,0
2025-07-01 10:43:21,470720,5086990,1,0,801.534,inf,inf,0,0
2025-07-01 10:43:21,470710,5086990,1,1,801.534,801.534,inf,270,0.0124761
2025-07-01 10:43:21,470700,5086990,0,1,801.534,1578.73,777.194,206,0.00708187
2025-07-01 10:43:21,470705,5086980,0,1,801.534,2386.38,1584.84,206,0.00705454
2025-07-01 10:43:21,470715,5086980,0,1,801.534,1582.71,781.172,206,0.00706407
2025-07-01 10:43:21,470705,5087000,1,0,801.534,inf,inf,0,0
2025-07-01 10:43:50,470680,5087030,1,0,830.384,inf,inf,0,0
2025-07-01 10:43:50,470670,5087030,1,0,830.384,inf,inf,0,0
2025-07-01 10:43:50,470665,5087040,0,1,830.384,866.38,35.9969,333,0.0129047
2025-07-01 10:43:50,470675,5087040,1,1,830.384,830.384,0,26,0.0134641
2025-07-01 10:43:50,470685,5087040,0,1,830.384,846.443,16.0596,333,0.0132086
2025-07-01 10:43:50,470680,5087050,0,1,830.384,1676.24,845.857,26,0.0132178
2025-07-01 10:43:50,470680,5087030,1,0,830.384,inf,inf,0,0
2025-07-01 10:43:50,470670,5087050,0,1,830.384,1697.87,867.485,333,0.0128882
2025-07-01 10:43:50,470670,5087030,1,0,830.384,inf,inf,0,0
2025-07-01 10:43:50,470665,5087040,0,1,830.384,866.38,35.9969,333,0.0129047
2025-07-01 10:43:50,470675,5087040,1,1,830.384,830.384,inf,26,0.0134641
2025-07-01 10:43:50,470685,5087040,0,1,830.384,846.443,16.0596,333,0.0132086
2025-07-01 10:44:06,470680,5087050,0,1,846.443,1676.24,829.798,26,0.0132178
2025-07-01 10:44:06,470680,5087030,1,0,846.443,inf,inf,0,0
2025-07-01 10:44:06,470695,5087040,0,1,846.443,859.667,13.2239,333,0.0130054
2025-07-01 10:44:06,470675,5087040,1,1,846.443,830.384,inf,26,0.0134641
2025-07-01 10:44:06,470690,5087030,1,0,846.443,inf,inf,0,0
